model,calibration,accuracy,balanced_accuracy,precision,recall,f1,f1_ci_low,f1_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,pr_auc,brier,false_positive_rate,false_negative_rate,tn,fp,fn,tp
Random Forest,sigmoid_holdout_0.20,0.9925562817719681,0.9925956379863292,0.9953245819097285,0.9899839027007691,0.9926470588235294,0.9908137840811108,0.9942113503661064,0.9992280549632515,0.9986614461212858,0.9996375790275416,0.9989611042196868,0.0058734298911349925,0.004792626728110599,0.010016097299230907,5399,26,56,5535
Gradient Boosting,sigmoid_holdout_0.20,0.9861111111111112,0.9861175341871853,0.9869269340974212,0.9856912895725273,0.9863087248322148,0.9841270002169813,0.988322697256087,0.9987213650641625,0.9983609792523434,0.9990156874898796,0.9987939878381072,0.011564122853912255,0.013456221198156683,0.014308710427472724,5352,73,80,5511
Logistic Regression,sigmoid_holdout_0.20,0.9330065359477124,0.932739565809765,0.9201731601731602,0.9504560901448756,0.9350695055428471,0.9299791452652945,0.9396256004176172,0.9752755539473824,0.9730015520774804,0.977555878852279,0.975904055903511,0.05961333704343151,0.08497695852534562,0.04954390985512431,4964,461,277,5314
