class_label,support,correct_or_detected,missed_or_false_alarm,rate_name,rate
BENIGN,5425,5399,26,specificity,0.9952073732718894
Bot,377,367,10,attack_detection_rate,0.9734748010610079
BruteForce,473,463,10,attack_detection_rate,0.9788583509513742
DoS,4107,4085,22,attack_detection_rate,0.9946432919405892
Infiltration,11,10,1,attack_detection_rate,0.9090909090909091
PortScan,76,75,1,attack_detection_rate,0.9868421052631579
WebAttack,547,535,12,attack_detection_rate,0.9780621572212066
